#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
83,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Bullfincherz,Schaumburg Strikers,WP 2
84,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,DMavs Stallions,Rising Starz Youth,Tippecone Park
85,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,DeePark Dynamites,Warriors,Crescent
86,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,South Barrington Cricket Club,Wildcats,South Barrington OLD
87,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Black Caps,Dominators,Hanover Park
88,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Deccan Heroes,Kings,Heritage Park
89,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Hawks,Midwest Vipers,Skoke East
90,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,AAA,CYCA Underdogs,Skoke West
91,Leather Ball 2026,RedBall Division II,League,04/25/2026,15:30,Chicago Tigers,Club Cricket of Chicago,"James Park, Evanston"
92,Leather Ball 2026,Blast T20,League,04/25/2026,15:30,Desi Tigers,Knotty 40,Vernon Hills
93,Leather Ball 2026,Blast T20,League,04/25/2026,12:00,Chicago Saifee Warriors,Desi Tigers,Tigers Park
94,Leather Ball 2026,Blast T20,League,04/25/2026,12:00,Challengers,Knotty 40,Gurnee
95,Leather Ball 2026,Blast T20,League,04/25/2026,12:00,Brothers XI,Midwest Bison,Naperville East
96,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Barrington Crescent Cricket Club,Pak Gymkhana,Tigers Park
97,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Anjuman,Midwest CC,Gurnee
98,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,CYCA Elite,Evanston CC,Naperville East
99,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Dolphins,Kings XI Chicago,Plainfield Northwest
100,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Deccan Mavericks,Panthers,Plainfield Grande Park old
101,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,BPL Youth,Spartans,balstrod b.brook
102,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Bullfincherz,Kings,WP 1
103,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,DMavs Stallions,Midwest Vipers,WP 2
104,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,AAA,Chicago Warriors,Tippecone Park
105,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Oh Gawd XI,Warriors,Crescent
106,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,DeePark Dynamites,Wildcats,South Barrington OLD
107,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,CYCA Underdogs,Dominators,Hanover Park
108,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Rising Starz Youth,Schaumburg Strikers,Heritage Park
109,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,South Barrington Cricket Club,Stars,Skoke East
110,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Deccan Heroes,Hawks,Skoke West
111,Leather Ball 2026,RedBall Division II,League,04/25/2026,08:30,Black Caps,Club Cricket of Chicago,"James Park, Evanston"
112,Leather Ball 2026,Blast T20,League,04/25/2026,08:30,Midwest Bison,Shaheens of Pakistan,Vernon Hills
113,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Deccan Mavericks,SBCC Slayers,Tigers Park
114,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Midwest CC,Rovers,Gurnee
115,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Cardinals United,Streamwood Cricket Club,Naperville East
116,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Challengers,CYCA Elite,Plainfield Northwest
117,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Bullfincherz,South Barrington Cricket Club,Plainfield Grande Park old
118,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,BPL Youth,Midwest Vipers,balstrod b.brook
119,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,DMavs Stallions,Spartans,WP 1
120,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Kings,Warriors,WP 2
121,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Chicago Warriors,Hawks,Tippecone Park
122,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Schaumburg Strikers,Stars,Crescent
123,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Dominators,Rising Starz Youth,South Barrington OLD
124,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,CYCA Underdogs,Deccan Heroes,Hanover Park
125,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Black Caps,DeePark Dynamites,Heritage Park
126,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,AAA,Oh Gawd XI,Skoke East
127,Leather Ball 2026,RedBall Division II,League,04/26/2026,15:30,Club Cricket of Chicago,Evanston CC,Skoke West
128,Leather Ball 2026,Blast T20,League,04/26/2026,15:30,Brothers XI,Shaheens of Pakistan,"James Park, Evanston"
