#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
99,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Oh Gawd XI,Schaumburg Strikers,"James Park, Evanston"
100,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Black Caps,Rising Starz Youth,Vernon Hills
101,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Milwaukee Panthers,Streamwood Cricket Club,Tigers Park
102,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Rovers,SBCC Slayers,Gurnee
103,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Challengers,Deccan Mavericks,Naperville East
104,Leather Ball 2026,RedBall Premier,League,04/26/2026,15:30,Cardinals United,Club Cricket of Chicago,Plainfield Northwest
105,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Oh Gawd XI,South Barrington Cricket Club,Plainfield Grande Park old
106,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,AAA,Bullfincherz,balstrod b.brook
107,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Black Caps,Wildcats,WP 1
108,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,DMavs Stallions,Rising Starz Youth,WP 2
109,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,CYCA Underdogs,Spartans,Tippecone Park
110,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,DeePark Dynamites,Stars,Crescent
111,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Kings,Midwest Vipers,South Barrington OLD
112,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,Chicago Warriors,Dominators,Hanover Park
113,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,15:30,BPL Youth,Deccan Heroes,Heritage Park
114,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Desi Tigers,Midwest Bison,Gurnee
115,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Club Cricket of Chicago,Knotty 40,Hanover Park
116,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,CYCA Elite,Milwaukee Panthers,Tigers Park
117,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Deccan Mavericks,Rovers,Gurnee
